frame,ctrl_name,cam_idx,led_id,depth_m,facing_cos,brightness,area
84025014983785.png,right_controller,0,20,0.30685,0.62945,99.0,4.50
84025014983785.png,right_controller,0,21,0.31523,0.71632,35.0,1.00
84025014983785.png,right_controller,0,22,0.29630,0.35365,74.0,3.00
84025014983785.png,right_controller,0,23,0.30697,0.61721,156.0,5.00
84025014983785.png,right_controller,0,24,0.31327,0.73596,94.0,3.00
84025014983785.png,right_controller,0,26,0.29018,0.22498,78.0,4.00
84025014983785.png,right_controller,0,27,0.30064,0.45789,86.0,3.50
84025014983785.png,right_controller,0,28,0.28957,0.26739,97.0,2.50
84025014983785.png,right_controller,0,29,0.30563,0.61235,186.0,6.50
84025014983785.png,right_controller,0,30,0.28547,0.14306,59.0,3.00
84025014983785.png,right_controller,0,31,0.29505,0.41510,131.0,5.50
84025037196112.png,right_controller,0,20,0.30742,0.63155,95.0,5.00
84025037196112.png,right_controller,0,21,0.31577,0.71771,35.0,1.00
84025037196112.png,right_controller,0,22,0.29663,0.35107,73.0,3.00
84025037196112.png,right_controller,0,23,0.30761,0.62062,152.0,5.00
84025037196112.png,right_controller,0,24,0.31391,0.73915,94.0,3.00
84025037196112.png,right_controller,0,26,0.29040,0.22017,69.0,5.50
84025037196112.png,right_controller,0,27,0.30109,0.45784,74.0,3.50
84025037196112.png,right_controller,0,28,0.28986,0.26395,89.0,2.50
84025037196112.png,right_controller,0,29,0.30632,0.61654,183.0,6.50
84025037196112.png,right_controller,0,30,0.28563,0.13687,59.0,3.00
84025037196112.png,right_controller,0,31,0.29553,0.41563,129.0,5.50
84025048244203.png,right_controller,0,20,0.30631,0.62659,102.0,4.50
84025048244203.png,right_controller,0,21,0.31521,0.72239,38.0,1.00
84025048244203.png,right_controller,0,22,0.29617,0.35840,78.0,3.00
84025048244203.png,right_controller,0,23,0.30695,0.62375,156.0,5.00
84025048244203.png,right_controller,0,24,0.31294,0.73671,97.0,3.00
84025048244203.png,right_controller,0,26,0.28986,0.22611,70.0,5.00
84025048244203.png,right_controller,0,27,0.30063,0.46498,79.0,3.50
84025048244203.png,right_controller,0,28,0.28875,0.25854,92.0,2.50
84025048244203.png,right_controller,0,29,0.30549,0.61663,183.0,6.50
84025048244203.png,right_controller,0,30,0.28481,0.13720,64.0,3.00
84025048244203.png,right_controller,0,31,0.29434,0.40900,132.0,5.50
84025070460298.png,right_controller,0,20,0.30686,0.63077,102.0,5.00
84025070460298.png,right_controller,0,21,0.31525,0.71790,37.0,1.00
84025070460298.png,right_controller,0,22,0.29618,0.35247,75.0,3.00
84025070460298.png,right_controller,0,23,0.30706,0.62026,157.0,5.00
84025070460298.png,right_controller,0,24,0.31335,0.73832,98.0,3.00
84025070460298.png,right_controller,0,26,0.28997,0.22196,67.0,5.00
84025070460298.png,right_controller,0,27,0.30060,0.45863,75.0,3.50
84025070460298.png,right_controller,0,28,0.28938,0.26443,87.0,2.50
84025070460298.png,right_controller,0,29,0.30575,0.61574,180.0,7.50
84025070460298.png,right_controller,0,30,0.28520,0.13848,61.0,3.00
84025070460298.png,right_controller,0,31,0.29499,0.41510,126.0,5.50
84025081516294.png,right_controller,0,20,0.30691,0.62973,106.0,4.50
84025081516294.png,right_controller,0,21,0.31547,0.71946,36.0,1.00
84025081516294.png,right_controller,0,22,0.29638,0.35385,79.0,3.50
84025081516294.png,right_controller,0,23,0.30727,0.62179,157.0,5.00
84025081516294.png,right_controller,0,24,0.31345,0.73825,99.0,3.00
84025081516294.png,right_controller,0,26,0.29012,0.22245,68.0,5.00
84025081516294.png,right_controller,0,27,0.30084,0.46053,79.0,3.50
84025081516294.png,right_controller,0,28,0.28936,0.26202,90.0,2.50
84025081516294.png,right_controller,0,29,0.30592,0.61658,187.0,6.00
84025081516294.png,right_controller,0,30,0.28524,0.13708,59.0,3.00
84025081516294.png,right_controller,0,31,0.29499,0.41322,129.0,5.50
84025103733315.png,right_controller,0,20,0.30689,0.62958,100.0,4.50
84025103733315.png,right_controller,0,21,0.31547,0.71949,34.0,1.00
84025103733315.png,right_controller,0,22,0.29639,0.35403,78.0,3.50
84025103733315.png,right_controller,0,23,0.30726,0.62173,151.0,5.00
84025103733315.png,right_controller,0,24,0.31344,0.73811,100.0,3.00
84025103733315.png,right_controller,0,26,0.29013,0.22267,65.0,4.00
84025103733315.png,right_controller,0,27,0.30084,0.46063,77.0,3.50
84025103733315.png,right_controller,0,28,0.28935,0.26202,86.0,2.50
84025103733315.png,right_controller,0,29,0.30590,0.61645,178.0,7.00
84025103733315.png,right_controller,0,30,0.28525,0.13725,56.0,3.00
84025103733315.png,right_controller,0,31,0.29497,0.41308,124.0,5.50
84025114814002.png,right_controller,0,20,0.30676,0.62973,105.0,6.00
84025114814002.png,right_controller,0,21,0.31530,0.71865,37.0,1.00
84025114814002.png,right_controller,0,22,0.29625,0.35382,80.0,3.50
84025114814002.png,right_controller,0,23,0.30707,0.62062,164.0,5.00
84025114814002.png,right_controller,0,24,0.31328,0.73770,100.0,3.00
84025114814002.png,right_controller,0,26,0.29003,0.22315,70.0,4.00
84025114814002.png,right_controller,0,27,0.30067,0.45985,83.0,3.50
84025114814002.png,right_controller,0,28,0.28929,0.26353,92.0,2.50
84025114814002.png,right_controller,0,29,0.30571,0.61552,178.0,7.00
84025114814002.png,right_controller,0,30,0.28519,0.13871,58.0,3.00
84025114814002.png,right_controller,0,31,0.29487,0.41381,128.0,5.50
84025136999297.png,right_controller,0,20,0.30722,0.63285,100.0,5.50
84025136999297.png,right_controller,0,21,0.31539,0.71606,36.0,1.00
84025136999297.png,right_controller,0,22,0.29627,0.34949,77.0,3.00
84025136999297.png,right_controller,0,23,0.30724,0.61910,154.0,5.00
84025136999297.png,right_controller,0,24,0.31365,0.73939,96.0,3.00
84025136999297.png,right_controller,0,26,0.29009,0.21951,70.0,3.50
84025136999297.png,right_controller,0,27,0.30070,0.45578,76.0,3.50
84025136999297.png,right_controller,0,28,0.28972,0.26660,90.0,2.50
84025136999297.png,right_controller,0,29,0.30600,0.61583,175.0,6.50
84025136999297.png,right_controller,0,30,0.28542,0.13827,56.0,3.00
84025136999297.png,right_controller,0,31,0.29537,0.41784,130.0,5.50
84025148094499.png,right_controller,0,20,0.30736,0.63225,102.0,6.00
84025148094499.png,right_controller,0,21,0.31558,0.71620,37.0,1.00
84025148094499.png,right_controller,0,22,0.29647,0.35008,79.0,3.00
84025148094499.png,right_controller,0,23,0.30742,0.61894,161.0,5.00
84025148094499.png,right_controller,0,24,0.31380,0.73890,103.0,3.00
